,artist,album,song_name,release_date,duration_ms,popularity,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Tom Odell,Long Way Down (Deluxe),Another Love,2013-06-24,244360,88,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360,4
1,Billie Eilish,lovely (with Khalid),lovely (with Khalid),2018-04-19,200185,88,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,audio_features,0u2P5u6lvoDfwTYjAADbn4,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4
2,Conan Gray,Kid Krow,Heather,2020-03-20,198040,87,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,audio_features,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040,3
3,Radiohead,Pablo Honey,Creep,1993-02-22,238640,86,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640,4
4,Olivia Rodrigo,SOUR,traitor,2021-05-21,229226,86,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4
5,Alec Benjamin,Narrated For You,Let Me Down Slowly,2018-11-16,169353,86,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354,4
6,Coldplay,A Rush of Blood to the Head,The Scientist,2002-08-08,309600,85,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,75JFxkI2RXiU7L9VXzMkle,spotify:track:75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4
7,Tate McRae,TOO YOUNG TO BE SAD,you broke me first,2021-03-26,170226,85,4l0RmWt52FxpVxMNni6i63,0.66,0.379,4,-9.357,1,0.0543,0.798,0.0,0.0913,0.0762,124.027,audio_features,4l0RmWt52FxpVxMNni6i63,spotify:track:4l0RmWt52FxpVxMNni6i63,https://api.spotify.com/v1/tracks/4l0RmWt52FxpVxMNni6i63,https://api.spotify.com/v1/audio-analysis/4l0RmWt52FxpVxMNni6i63,170227,4
8,Sam Smith,In The Lonely Hour,Stay With Me,2014-05-26,172723,84,5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,audio_features,5Nm9ERjJZ5oyfXZTECKmRt,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,172724,4
9,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",when the party's over,2019-03-29,196077,84,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,audio_features,43zdsphuZLzwA9k4DJhU0I,spotify:track:43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,196077,4
10,Seafret,Tell Me It's Real (Expanded Edition),Atlantis,2016-01-29,229173,84,1Fid2jjqsHViMX6xNH70hE,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,audio_features,1Fid2jjqsHViMX6xNH70hE,spotify:track:1Fid2jjqsHViMX6xNH70hE,https://api.spotify.com/v1/tracks/1Fid2jjqsHViMX6xNH70hE,https://api.spotify.com/v1/audio-analysis/1Fid2jjqsHViMX6xNH70hE,229173,4
11,P!nk,The Truth About Love,Just Give Me a Reason (feat. Nate Ruess),2012-09-18,242733,84,1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,audio_features,1mKXFLRA179hdOWQBwUk9e,spotify:track:1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/audio-analysis/1mKXFLRA179hdOWQBwUk9e,242733,4
12,Ed Sheeran,x (Deluxe Edition),Photograph,2014-06-21,258986,84,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4
13,Olivia Rodrigo,SOUR,drivers license,2021-05-21,242013,86,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,audio_features,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013,4
14,Gracie Abrams,minor,"I miss you, I’m sorry",2020-07-14,167538,83,4nyF5lmSziBAt7ESAUjpbx,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885,audio_features,4nyF5lmSziBAt7ESAUjpbx,spotify:track:4nyF5lmSziBAt7ESAUjpbx,https://api.spotify.com/v1/tracks/4nyF5lmSziBAt7ESAUjpbx,https://api.spotify.com/v1/audio-analysis/4nyF5lmSziBAt7ESAUjpbx,167538,5
15,Coldplay,X&Y,Fix You,2005-06-07,295533,83,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
16,Harry Styles,Fine Line,Falling,2019-12-13,240133,83,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,audio_features,1ZMiCix7XSAbfAJlEZWMCp,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/tracks/1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/audio-analysis/1ZMiCix7XSAbfAJlEZWMCp,240133,4
17,Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,2017-11-03,201000,84,1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,audio_features,1mXVgsBdtIVeCLJnSnmtdV,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,201000,4
18,Alex Warren,Before You Leave Me,Before You Leave Me,2024-02-16,176178,83,7qoxdajngC0j9VXrcnephA,0.702,0.84,4,-5.382,1,0.0657,0.151,0.0,0.081,0.639,120.035,audio_features,7qoxdajngC0j9VXrcnephA,spotify:track:7qoxdajngC0j9VXrcnephA,https://api.spotify.com/v1/tracks/7qoxdajngC0j9VXrcnephA,https://api.spotify.com/v1/audio-analysis/7qoxdajngC0j9VXrcnephA,176178,4
19,Lizzy McAlpine,five seconds flat,ceilings,2022-04-08,182887,83,2L9N0zZnd37dwF0clgxMGI,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,audio_features,2L9N0zZnd37dwF0clgxMGI,spotify:track:2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/tracks/2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/audio-analysis/2L9N0zZnd37dwF0clgxMGI,182888,3
20,Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon,2010-10-05,217866,82,161DnLWsx1i3u1JT05lzqU,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,audio_features,161DnLWsx1i3u1JT05lzqU,spotify:track:161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/tracks/161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/audio-analysis/161DnLWsx1i3u1JT05lzqU,217867,4
21,Christina Perri,A Thousand Years,a thousand years,2011-10-18,285120,81,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,audio_features,6lanRgr6wXibZr8KgzXxBl,spotify:track:6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl,285120,3
22,Calum Scott,Only Human (Deluxe),Dancing On My Own,2018-03-09,260285,81,2BOqDYLOJBiMOXShCV1neZ,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,audio_features,2BOqDYLOJBiMOXShCV1neZ,spotify:track:2BOqDYLOJBiMOXShCV1neZ,https://api.spotify.com/v1/tracks/2BOqDYLOJBiMOXShCV1neZ,https://api.spotify.com/v1/audio-analysis/2BOqDYLOJBiMOXShCV1neZ,260285,4
23,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Bruises,2019-05-17,220492,81,4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,audio_features,4Of7rzpRpV1mWRbhp5rAqG,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/tracks/4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/audio-analysis/4Of7rzpRpV1mWRbhp5rAqG,220492,4
24,Shawn Mendes,Illuminate (Deluxe),Mercy,2017-04-20,208733,81,0AS63m1wHv9n4VVRizK6Hc,0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128,audio_features,0AS63m1wHv9n4VVRizK6Hc,spotify:track:0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/tracks/0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/audio-analysis/0AS63m1wHv9n4VVRizK6Hc,208733,4
25,The Fray,How To Save A Life,How to Save a Life,2005-09-13,262533,81,5fVZC9GiM4e8vu99W0Xf6J,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,audio_features,5fVZC9GiM4e8vu99W0Xf6J,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533,4
26,Taylor Swift,Lover,The Archer,2019-08-23,211240,80,3pHkh7d0lzM2AldUtz2x37,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,audio_features,3pHkh7d0lzM2AldUtz2x37,spotify:track:3pHkh7d0lzM2AldUtz2x37,https://api.spotify.com/v1/tracks/3pHkh7d0lzM2AldUtz2x37,https://api.spotify.com/v1/audio-analysis/3pHkh7d0lzM2AldUtz2x37,211240,4
27,Kodaline,In A Perfect World (Expanded Edition),All I Want,2013-06-17,305746,80,0NlGoUyOJSuSHmngoibVAs,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,audio_features,0NlGoUyOJSuSHmngoibVAs,spotify:track:0NlGoUyOJSuSHmngoibVAs,https://api.spotify.com/v1/tracks/0NlGoUyOJSuSHmngoibVAs,https://api.spotify.com/v1/audio-analysis/0NlGoUyOJSuSHmngoibVAs,305747,3
28,Myles Smith,Solo,Solo,2023-11-15,199756,80,4Skkx52Dh8yo4G1ijAEGs3,0.586,0.439,0,-7.993,1,0.0346,0.715,0.0,0.117,0.365,122.877,audio_features,4Skkx52Dh8yo4G1ijAEGs3,spotify:track:4Skkx52Dh8yo4G1ijAEGs3,https://api.spotify.com/v1/tracks/4Skkx52Dh8yo4G1ijAEGs3,https://api.spotify.com/v1/audio-analysis/4Skkx52Dh8yo4G1ijAEGs3,199756,4
29,Selena Gomez,Rare,Lose You To Love Me,2020-01-10,206458,80,4l0Mvzj72xxOpRrp6h8nHi,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,audio_features,4l0Mvzj72xxOpRrp6h8nHi,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,https://api.spotify.com/v1/tracks/4l0Mvzj72xxOpRrp6h8nHi,https://api.spotify.com/v1/audio-analysis/4l0Mvzj72xxOpRrp6h8nHi,206459,4
30,Lord Huron,Strange Trails,The Night We Met,2015-04-07,208211,80,0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,audio_features,0QZ5yyl6B6utIWkxeBDxQN,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,208212,3
31,Hozier,Hozier (Expanded Edition),Work Song,2014-09-19,229720,80,5TgEJ62DOzBpGxZ7WRsrqb,0.531,0.363,10,-7.672,1,0.0608,0.749,0.0,0.112,0.259,121.412,audio_features,5TgEJ62DOzBpGxZ7WRsrqb,spotify:track:5TgEJ62DOzBpGxZ7WRsrqb,https://api.spotify.com/v1/tracks/5TgEJ62DOzBpGxZ7WRsrqb,https://api.spotify.com/v1/audio-analysis/5TgEJ62DOzBpGxZ7WRsrqb,229720,4
32,Olivia Rodrigo,SOUR,"1 step forward, 3 steps back",2021-05-21,163586,80,4wcBRRpIfesgcyUtis7PEg,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,audio_features,4wcBRRpIfesgcyUtis7PEg,spotify:track:4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/tracks/4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/audio-analysis/4wcBRRpIfesgcyUtis7PEg,163587,4
33,James Arthur,Back from the Edge,Train Wreck,2016-10-28,208826,80,55Am8neGJkdj2ADaM3aw5H,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,audio_features,55Am8neGJkdj2ADaM3aw5H,spotify:track:55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/tracks/55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/audio-analysis/55Am8neGJkdj2ADaM3aw5H,208827,4
34,Fleetwood Mac,Fleetwood Mac,Landslide,1975-07-11,199493,79,5ihS6UUlyQAfmp48eSkxuQ,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,audio_features,5ihS6UUlyQAfmp48eSkxuQ,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,https://api.spotify.com/v1/tracks/5ihS6UUlyQAfmp48eSkxuQ,https://api.spotify.com/v1/audio-analysis/5ihS6UUlyQAfmp48eSkxuQ,199493,4
35,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",i love you,2019-03-29,291796,79,6CcJMwBtXByIz4zQLzFkKc,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,audio_features,6CcJMwBtXByIz4zQLzFkKc,spotify:track:6CcJMwBtXByIz4zQLzFkKc,https://api.spotify.com/v1/tracks/6CcJMwBtXByIz4zQLzFkKc,https://api.spotify.com/v1/audio-analysis/6CcJMwBtXByIz4zQLzFkKc,291796,4
36,Chord Overstreet,Hold On,Hold On,2017-02-03,198853,79,5vjLSffimiIP26QG5WcN2K,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,audio_features,5vjLSffimiIP26QG5WcN2K,spotify:track:5vjLSffimiIP26QG5WcN2K,https://api.spotify.com/v1/tracks/5vjLSffimiIP26QG5WcN2K,https://api.spotify.com/v1/audio-analysis/5vjLSffimiIP26QG5WcN2K,198853,4
37,Adele,21,Someone Like You,2011-01-24,285240,78,1zwMYTA5nlNjZxYrvBB2pV,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,1zwMYTA5nlNjZxYrvBB2pV,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240,4
38,Dean Lewis,Be Alright,Be Alright,2018-06-29,196373,78,3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4
39,Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost,2019-06-28,197732,78,1TQXIltqoZ5XXyfCbAeSQQ,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,audio_features,1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732,4
40,James Arthur,James Arthur (Deluxe),Impossible,2013-11-04,209440,78,5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,audio_features,5yVIlYEHZxQVLyInCdldoS,spotify:track:5yVIlYEHZxQVLyInCdldoS,https://api.spotify.com/v1/tracks/5yVIlYEHZxQVLyInCdldoS,https://api.spotify.com/v1/audio-analysis/5yVIlYEHZxQVLyInCdldoS,209440,4
41,Laufey,Goddess,Goddess,2024-03-06,267866,77,4R3AU2pjv8ge2siX1fVbZs,0.372,0.128,5,-12.997,1,0.0355,0.973,0.000315,0.0916,0.172,78.949,audio_features,4R3AU2pjv8ge2siX1fVbZs,spotify:track:4R3AU2pjv8ge2siX1fVbZs,https://api.spotify.com/v1/tracks/4R3AU2pjv8ge2siX1fVbZs,https://api.spotify.com/v1/audio-analysis/4R3AU2pjv8ge2siX1fVbZs,267867,4
42,SLANDER,Love Is Gone (Acoustic),Love Is Gone - Acoustic,2019-11-13,176971,77,7F1CiKqrY44kh5cDqwHOnx,0.541,0.153,6,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644,audio_features,7F1CiKqrY44kh5cDqwHOnx,spotify:track:7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/tracks/7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/audio-analysis/7F1CiKqrY44kh5cDqwHOnx,176972,4
43,The Script,The Script,The Man Who Can't Be Moved,2008-07-14,241373,77,3nqqDo8CcCLke3ZoTgiOKf,0.605,0.629,10,-5.051,1,0.0279,0.437,0.0,0.097,0.308,99.894,audio_features,3nqqDo8CcCLke3ZoTgiOKf,spotify:track:3nqqDo8CcCLke3ZoTgiOKf,https://api.spotify.com/v1/tracks/3nqqDo8CcCLke3ZoTgiOKf,https://api.spotify.com/v1/audio-analysis/3nqqDo8CcCLke3ZoTgiOKf,241373,4
44,Ali Gatie,YOU,It's You,2019-11-08,212606,77,5DqdesEfbRyOlSS3Tf6c29,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,audio_features,5DqdesEfbRyOlSS3Tf6c29,spotify:track:5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/tracks/5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/audio-analysis/5DqdesEfbRyOlSS3Tf6c29,212607,4
45,The Fray,How To Save A Life,Look After You,2005-09-13,266773,77,5l6hpyTGBK0LAAxgPnqTQL,0.447,0.592,6,-3.015,0,0.0319,0.0575,4.47e-06,0.13,0.283,78.039,audio_features,5l6hpyTGBK0LAAxgPnqTQL,spotify:track:5l6hpyTGBK0LAAxgPnqTQL,https://api.spotify.com/v1/tracks/5l6hpyTGBK0LAAxgPnqTQL,https://api.spotify.com/v1/audio-analysis/5l6hpyTGBK0LAAxgPnqTQL,266773,4
46,Duncan Laurence,Arcade,Arcade,2019-03-07,183624,77,1Xi84slp6FryDSCbzq4UCD,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,audio_features,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/tracks/1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/audio-analysis/1Xi84slp6FryDSCbzq4UCD,183624,3
47,3 Doors Down,Away From The Sun,Here Without You,2002-11-12,238733,76,3NLrRZoMF0Lx6zTlYqeIo4,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,audio_features,3NLrRZoMF0Lx6zTlYqeIo4,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4,https://api.spotify.com/v1/audio-analysis/3NLrRZoMF0Lx6zTlYqeIo4,238733,4
48,JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),2019-10-17,208687,76,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,audio_features,2kJwzbxV2ppxnQoYw4GLBZ,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/audio-analysis/2kJwzbxV2ppxnQoYw4GLBZ,208687,4
49,gnash,us,"i hate u, i love u (feat. olivia o'brien)",2016-03-25,251033,76,7vRriwrloYVaoAe3a9wJHe,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,audio_features,7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,251034,4
50,Dean Lewis,A Place We Knew,Half A Man,2019-03-22,179120,75,1ugQtcwmKOXvKAYzhjncmv,0.507,0.204,0,-11.575,1,0.0504,0.855,0.0,0.143,0.343,77.765,audio_features,1ugQtcwmKOXvKAYzhjncmv,spotify:track:1ugQtcwmKOXvKAYzhjncmv,https://api.spotify.com/v1/tracks/1ugQtcwmKOXvKAYzhjncmv,https://api.spotify.com/v1/audio-analysis/1ugQtcwmKOXvKAYzhjncmv,179120,4
51,Beyoncé,I AM...SASHA FIERCE,Halo,2008-11-17,261640,75,4JehYebiI9JE8sR8MisGVb,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,audio_features,4JehYebiI9JE8sR8MisGVb,spotify:track:4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/audio-analysis/4JehYebiI9JE8sR8MisGVb,261640,4
52,The Fray,The Fray,You Found Me,2009-02-02,241853,74,4IoYz8XqqdowINzfRrFnhi,0.338,0.803,8,-5.412,0,0.0413,0.0187,0.0,0.136,0.4,151.994,audio_features,4IoYz8XqqdowINzfRrFnhi,spotify:track:4IoYz8XqqdowINzfRrFnhi,https://api.spotify.com/v1/tracks/4IoYz8XqqdowINzfRrFnhi,https://api.spotify.com/v1/audio-analysis/4IoYz8XqqdowINzfRrFnhi,241853,4
53,Evanescence,Fallen,My Immortal,2003-03-04,262533,74,4UzVcXufOhGUwF56HT7b8M,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012,audio_features,4UzVcXufOhGUwF56HT7b8M,spotify:track:4UzVcXufOhGUwF56HT7b8M,https://api.spotify.com/v1/tracks/4UzVcXufOhGUwF56HT7b8M,https://api.spotify.com/v1/audio-analysis/4UzVcXufOhGUwF56HT7b8M,262533,4
