danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.751,0.472,11,-9.546,1,0.469,0.63,0.465,0.388,0.542,79.361,audio_features,0zeajOT0iYO8w3w4r6wFPX,spotify:track:0zeajOT0iYO8w3w4r6wFPX,https://api.spotify.com/v1/tracks/0zeajOT0iYO8w3w4r6wFPX,https://api.spotify.com/v1/audio-analysis/0zeajOT0iYO8w3w4r6wFPX,130464,4
0.786,0.298,2,-10.223,0,0.0484,0.333,0.675,0.0907,0.717,91.006,audio_features,1Ty54xPt5arHKn6ecAF9M8,spotify:track:1Ty54xPt5arHKn6ecAF9M8,https://api.spotify.com/v1/tracks/1Ty54xPt5arHKn6ecAF9M8,https://api.spotify.com/v1/audio-analysis/1Ty54xPt5arHKn6ecAF9M8,178838,4
0.825,0.476,6,-9.973,1,0.0416,0.0199,0.695,0.111,0.478,138.012,audio_features,3GUENOD0ciaHHbLcmzq5Nh,spotify:track:3GUENOD0ciaHHbLcmzq5Nh,https://api.spotify.com/v1/tracks/3GUENOD0ciaHHbLcmzq5Nh,https://api.spotify.com/v1/audio-analysis/3GUENOD0ciaHHbLcmzq5Nh,160000,4
0.569,0.519,4,-7.166,0,0.0341,0.254,0.849,0.896,0.0626,77.967,audio_features,4uRoD8CU2UkRcV7wR4b1yO,spotify:track:4uRoD8CU2UkRcV7wR4b1yO,https://api.spotify.com/v1/tracks/4uRoD8CU2UkRcV7wR4b1yO,https://api.spotify.com/v1/audio-analysis/4uRoD8CU2UkRcV7wR4b1yO,163077,4
0.683,0.517,0,-9.421,1,0.107,0.63,0.878,0.0961,0.443,160.038,audio_features,5GSoiFJwXZY3DfPDkVHwS6,spotify:track:5GSoiFJwXZY3DfPDkVHwS6,https://api.spotify.com/v1/tracks/5GSoiFJwXZY3DfPDkVHwS6,https://api.spotify.com/v1/audio-analysis/5GSoiFJwXZY3DfPDkVHwS6,121500,4
0.773,0.667,1,-7.606,1,0.119,0.318,0.714,0.138,0.7,87.005,audio_features,1D9DJXFwwB91MBatZ7wnSv,spotify:track:1D9DJXFwwB91MBatZ7wnSv,https://api.spotify.com/v1/tracks/1D9DJXFwwB91MBatZ7wnSv,https://api.spotify.com/v1/audio-analysis/1D9DJXFwwB91MBatZ7wnSv,204138,4
0.778,0.966,6,-5.2,1,0.0541,0.126,0.855,0.925,0.961,101.99,audio_features,6XJYg9tkgYiDSlQNwFVHq1,spotify:track:6XJYg9tkgYiDSlQNwFVHq1,https://api.spotify.com/v1/tracks/6XJYg9tkgYiDSlQNwFVHq1,https://api.spotify.com/v1/audio-analysis/6XJYg9tkgYiDSlQNwFVHq1,144762,4
0.75,0.585,3,-9.596,1,0.0998,0.292,0.833,0.151,0.528,85.023,audio_features,33PwTxfVSWTN3fd91q4Wsj,spotify:track:33PwTxfVSWTN3fd91q4Wsj,https://api.spotify.com/v1/tracks/33PwTxfVSWTN3fd91q4Wsj,https://api.spotify.com/v1/audio-analysis/33PwTxfVSWTN3fd91q4Wsj,113109,4
0.574,0.577,11,-5.068,1,0.445,0.121,0.744,0.109,0.494,186.142,audio_features,2REph8Rj4ZY9XufWEJ7nDU,spotify:track:2REph8Rj4ZY9XufWEJ7nDU,https://api.spotify.com/v1/tracks/2REph8Rj4ZY9XufWEJ7nDU,https://api.spotify.com/v1/audio-analysis/2REph8Rj4ZY9XufWEJ7nDU,114845,4
0.485,0.37,11,-15.126,1,0.102,0.0869,0.809,0.155,0.568,82.337,audio_features,76cTbbnIPeXhDt4EAMh5Uo,spotify:track:76cTbbnIPeXhDt4EAMh5Uo,https://api.spotify.com/v1/tracks/76cTbbnIPeXhDt4EAMh5Uo,https://api.spotify.com/v1/audio-analysis/76cTbbnIPeXhDt4EAMh5Uo,225882,4
0.71,0.189,7,-8.889,1,0.0471,0.902,0.94,0.393,0.425,80.027,audio_features,3VDCpzj7RHA93Bko1zriIt,spotify:track:3VDCpzj7RHA93Bko1zriIt,https://api.spotify.com/v1/tracks/3VDCpzj7RHA93Bko1zriIt,https://api.spotify.com/v1/audio-analysis/3VDCpzj7RHA93Bko1zriIt,148500,4
0.854,0.29,5,-11.499,0,0.33,0.197,0.842,0.124,0.971,148.12,audio_features,7KphRv1mvPUCfSDix7qgGH,spotify:track:7KphRv1mvPUCfSDix7qgGH,https://api.spotify.com/v1/tracks/7KphRv1mvPUCfSDix7qgGH,https://api.spotify.com/v1/audio-analysis/7KphRv1mvPUCfSDix7qgGH,168649,4
0.8,0.327,4,-14.066,0,0.0719,0.534,0.89,0.106,0.6,147.995,audio_features,2K9A88rDsFknuCBkec9eom,spotify:track:2K9A88rDsFknuCBkec9eom,https://api.spotify.com/v1/tracks/2K9A88rDsFknuCBkec9eom,https://api.spotify.com/v1/audio-analysis/2K9A88rDsFknuCBkec9eom,156667,4
