,country,playlist_id,followers,total_songs
0,Aruba,37i9dQZEVXbMMy2roB9myp,1549694,50
1,Angola,37i9dQZEVXbLRQDuF5jeBp,3393275,50
2,Anguilla,37i9dQZF1EIVB7Q4QbusIn,0,50
3,Andorra,37i9dQZEVXbMxjQJh4Um8T,6613,50
4,Argentina,37i9dQZEVXbMMy2roB9myp,1549694,50
5,Armenia,37i9dQZEVXbNFJfN1Vw8d9,1628375,50
6,American Samoa,37i9dQZF1E4smENkn6GwQW,480,50
7,Antarctica,37i9dQZF1EIWoen329z5Ff,0,50
8,Australia,37i9dQZEVXbJPcfkRz0wJ0,816728,50
9,Austria,37i9dQZEVXbKNHh6NIXu36,117987,50
10,Azerbaijan,37i9dQZF1DX7Eso9VpcSU5,2335,50
11,Burundi,37i9dQZF1EIhh7D0HWq1xf,0,50
12,Belgium,37i9dQZEVXbJNSeeHswcKB,266616,50
13,Benin,37i9dQZF1DZ06evO2N3R60,12960,50
14,Burkina Faso,37i9dQZF1EIhh7D0HWq1xf,0,50
15,Bangladesh,37i9dQZF1DX794NyvTu6nv,63850,50
16,Bulgaria,37i9dQZEVXbNfM2w2mq1B8,15052,50
17,Bahrain,37i9dQZEVXbKXQ4mDTEBXq,1147237,50
18,Bahamas,37i9dQZF1E4EmcnNQnHcKZ,15474,50
19,Saint Barthélemy,37i9dQZF1E4AdjhPfmrV9C,23,50
20,Belarus,37i9dQZEVXbIYfjSLbWr4V,4918,50
21,"Bolivia, Plurinational State of",37i9dQZEVXbJqfMFK4d691,105315,50
22,Brazil,37i9dQZEVXbMXbN3EUUhlg,3503626,50
23,Brunei Darussalam,37i9dQZF1EIeN5DVDEBoQF,0,50
24,Bhutan,37i9dQZF1EIVuZuVPMXKK5,0,50
25,Bouvet Island,37i9dQZF1E4mk6OoDyeHDm,81,50
26,Botswana,37i9dQZF1DX3EbcelyrZPd,81946,75
27,Central African Republic,37i9dQZEVXbMH2jvi6jvjk,43810,50
28,Canada,37i9dQZEVXbKj23U1GF4IR,333558,50
29,Cocos (Keeling) Islands,37i9dQZF1DZ06evO496LTj,104,50
30,Switzerland,37i9dQZEVXbJiyhoAPEfMK,121327,50
31,Chile,37i9dQZEVXbL0GavIqMTeb,577926,50
32,China,37i9dQZEVXbMnZEatlMSiu,213490,50
33,Côte d'Ivoire,37i9dQZF1DX0z1epx5KTtS,87245,40
34,"Congo, The Democratic Republic of the",37i9dQZF1DX8d57cbyhqPM,37005,75
35,Congo,37i9dQZF1DX8d57cbyhqPM,37005,75
36,Cook Islands,37i9dQZF1DXab8DipvnuNU,27590,75
37,Colombia,37i9dQZEVXbOa2lmxNORXQ,828228,50
38,Cabo Verde,37i9dQZF1E8KJGjs3Kc22q,596,50
39,Costa Rica,37i9dQZEVXbMZAjGMynsQX,149108,50
40,Cuba,37i9dQZEVXbMDoHDwVN2tF,17179679,50
41,Curaçao,37i9dQZF1E8zQs0QCmflip,27,50
42,Cayman Islands,37i9dQZF1E8LLkkCbcA75c,61,50
43,Cyprus,37i9dQZEVXbNBxnXSWuAcX,4562,50
44,Czechia,37i9dQZF1DXckfNdvs23sF,35054,100
45,Germany,37i9dQZEVXbJiZcmkrIHGU,2142391,50
46,Djibouti,37i9dQZF1E4yjBcbtlVpCt,496,50
47,Dominica,37i9dQZEVXbKAbrMR8uuf7,153383,50
48,Denmark,37i9dQZEVXbL3J0k32lWnN,208418,50
49,Dominican Republic,37i9dQZEVXbKAbrMR8uuf7,153383,50
50,Algeria,37i9dQZEVXbMMy2roB9myp,1549694,50
51,Ecuador,37i9dQZEVXbJlM6nvL1nD1,182173,50
52,Egypt,37i9dQZEVXbLn7RQmT5Xv2,29079,50
53,Eritrea,37i9dQZF1EIfiXPCoBVtZZ,0,50
54,Western Sahara,37i9dQZF1DWUPRADzDnbMq,92274,90
55,Spain,37i9dQZEVXbNFJfN1Vw8d9,1628375,50
56,Estonia,37i9dQZEVXbLesry2Qw2xS,18213,50
57,Ethiopia,37i9dQZF1EIeplPHHjgFR7,0,50
58,Finland,37i9dQZEVXbMxcczTSoGwZ,154120,50
59,Fiji,37i9dQZF1E4zop6UXS5B2i,5863,50
60,Falkland Islands (Malvinas),37i9dQZF1E8MczzkoYW5Qy,15,50
61,France,37i9dQZEVXbIPWwFssbupI,844522,50
62,Faroe Islands,37i9dQZF1EIdQubHkpewmd,0,50
63,Gabon,37i9dQZF1DWSHg3zCMrBDf,50628,50
64,United Kingdom,37i9dQZEVXbLnolsZ8PSNw,2153774,50
65,Georgia,37i9dQZF1E8LYntJja4fdR,1302,50
66,Ghana,37i9dQZF1DWSHg3zCMrBDf,50628,50
67,Guinea,37i9dQZF1E8Qrv1qELSGkr,130,50
68,Gambia,37i9dQZF1EIUmG0p1KJ3K2,0,50
69,Guinea-Bissau,37i9dQZF1E4BiViTsz2stf,13616,50
70,Equatorial Guinea,37i9dQZF1E4DSXzLe4DZPn,220,50
71,Greece,37i9dQZEVXbJqdarpmTJDL,106262,50
72,Grenada,37i9dQZF1E4vkkeyxjraNy,1387,50
73,Guatemala,37i9dQZEVXbLy5tBFyQvd4,81402,50
74,Guyana,37i9dQZF1E4ryK15U83He0,12173,50
75,Hong Kong,37i9dQZEVXbLwpL8TjsxOG,112568,50
76,Honduras,37i9dQZEVXbJp9wcIM9Eo5,62617,50
77,Haiti,37i9dQZF1DXbl4lbUfCVSx,31315,40
78,Hungary,37i9dQZEVXbNHwMxAkvmF8,71638,50
79,Indonesia,37i9dQZEVXbObFQZ3JLcXt,751757,50
80,India,37i9dQZEVXbLZ52XmnySJg,486476,50
81,British Indian Ocean Territory,37i9dQZF1EIWuldcRLCXBs,0,50
82,Ireland,37i9dQZEVXbKM896FDX8L1,243978,50
83,"Iran, Islamic Republic of",37i9dQZF1DX95RTKCyCPUA,35401,31
84,Iceland,37i9dQZEVXbKMzVsSGQ49S,41790,50
85,Israel,37i9dQZEVXbJ6IpvItkve3,61291,50
86,Italy,37i9dQZEVXbIQnj7RRhdSX,1070139,50
87,Jamaica,37i9dQZF1EIhlUMAfqBGyB,0,50
88,Jersey,37i9dQZF1EIfupzYA970VI,0,50
89,Jordan,37i9dQZEVXbLRQDuF5jeBp,3393275,50
90,Japan,37i9dQZEVXbKXQ4mDTEBXq,1147240,50
91,Kazakhstan,37i9dQZEVXbM472oKPNKzS,3889,50
92,Kenya,37i9dQZF1DWWWXigQZAD8B,61043,50
93,Kyrgyzstan,37i9dQZF1EIhajaAs4vgLB,0,50
94,Cambodia,37i9dQZF1EIdxCGApZ24as,0,50
95,"Korea, Republic of",37i9dQZF1DWT9uTRZAYj0c,84820,52
96,Kuwait,37i9dQZF1E8LCjn8IQg9pH,1,50
97,Lao People's Democratic Republic,37i9dQZF1EIdUUJEWfRhrr,0,50
98,Lebanon,37i9dQZF1DXaywRlmHaP59,68296,55
99,Liberia,37i9dQZF1E8KYYGqlYixwB,4,50
100,Libya,37i9dQZF1EIWzuhl7LNz3M,0,50
101,Saint Lucia,37i9dQZF1DZ06evO3vnKPm,6253,46
102,Liechtenstein,37i9dQZEVXbJiyhoAPEfMK,121327,50
103,Sri Lanka,37i9dQZF1DX4QcmlTAbT3k,62114,50
104,Lesotho,37i9dQZF1E8N3YS4zE7ouT,11,50
105,Lithuania,37i9dQZEVXbMx56Rdq5lwc,27601,50
106,Luxembourg,37i9dQZEVXbKGcyg6TFGx6,8031,50
107,Latvia,37i9dQZEVXbJWuzDrTxbKS,14904,50
108,Macao,37i9dQZF1E4kmvrzO4TCwf,443,50
109,Saint Martin (French part),37i9dQZF1E4xOz88HD6FeG,7410,50
110,Morocco,37i9dQZEVXbJU9eQpX8gPT,51402,50
111,Monaco,37i9dQZF1E8Ndvcpqo1lkR,8,50
112,Madagascar,37i9dQZF1EIXRaCNLvb3zK,0,50
113,Mexico,37i9dQZEVXbO3qyFxbkOE1,1850841,50
114,North Macedonia,37i9dQZF1DZ06evO3GUZ2h,118,41
115,Mali,37i9dQZF1E4D2dRMCoUMI2,3656,50
116,Malta,37i9dQZEVXbJlfUljuZExa,205892,50
117,Montenegro,37i9dQZF1E4AXsqwGgJtrR,0,50
118,Northern Mariana Islands,37i9dQZF1E8TCSwUKP9smX,1256,50
119,Mozambique,37i9dQZF1E8Evea6Gnk7Tl,51,50
120,Mauritania,37i9dQZF1E4wRLfXzA9SaT,2,50
121,Montserrat,37i9dQZF1EIUUFs9ZsMu1d,0,50
122,Martinique,37i9dQZF1E8Qu215x7M6YN,36,50
123,Malawi,37i9dQZF1E4zXrrE1ENMA5,128,50
124,Malaysia,37i9dQZEVXbJlfUljuZExa,205892,50
125,Mayotte,37i9dQZF1EIWMFu4XtKiuK,0,50
126,Namibia,37i9dQZF1EIXtuKCXAvNwg,0,50
127,Niger,37i9dQZEVXbKY7jLzlJ11V,22207,50
128,Norfolk Island,37i9dQZF1E8PXy9LfWKjbb,2350,50
129,Nigeria,37i9dQZEVXbKY7jLzlJ11V,22207,50
130,Nicaragua,37i9dQZEVXbISk8kxnzfCq,17930,50
131,Niue,37i9dQZEVXbM8SIrkERIYl,212472,50
132,Netherlands,37i9dQZEVXbKCF6dqVpDkS,909749,50
133,Norway,37i9dQZEVXbJvfa0Yxg7E7,542605,50
134,Nauru,37i9dQZF1E4xvY7PQWMMdq,264,50
135,New Zealand,37i9dQZEVXbM8SIrkERIYl,212472,50
136,Pakistan,37i9dQZEVXbJkgIdfsJyTw,4775,50
137,Panama,37i9dQZEVXbKypXHVwk1f0,96893,50
138,Peru,37i9dQZEVXbJfdy5b0KP7W,461330,50
139,Philippines,37i9dQZEVXbNBz9cRCSFkY,1334132,50
140,Papua New Guinea,37i9dQZF1E4FeM4k0cyljq,970,50
141,Poland,37i9dQZEVXbN6itCcaL3Tt,263029,50
142,Puerto Rico,37i9dQZF1DX1Zs6DCeRyof,25890,50
143,Portugal,37i9dQZEVXbKyJS56d1pgi,214842,50
144,Paraguay,37i9dQZEVXbNOUPGj7tW6T,284581,50
145,"Palestine, State of",37i9dQZF1DX6qjeIoR93rs,62733,70
146,French Polynesia,37i9dQZF1DZ06evO4bYGxc,957,50
147,Romania,37i9dQZEVXbNZbJ6TZelCq,32827,50
148,Rwanda,37i9dQZF1DWZgbYyehYtQC,2243,60
149,Saudi Arabia,37i9dQZEVXbLrQBcXqUtaC,8255,50
150,Sudan,37i9dQZF1EIV2sImEXeA5I,0,50
151,Singapore,37i9dQZEVXbK4gjvS1FjPY,133698,50
152,"Saint Helena, Ascension and Tristan da Cunha",37i9dQZF1E8O6CCR8Jyh1m,53,50
153,Svalbard and Jan Mayen,37i9dQZF1E4zT7hyv1d0bV,4,50
154,Solomon Islands,37i9dQZF1EIh8ptdkZLKoO,0,50
155,El Salvador,37i9dQZEVXbLxoIml4MYkT,55351,50
156,San Marino,37i9dQZF1EIXdcAbQPfdoo,0,50
157,Somalia,37i9dQZEVXbL1Fl8vdBUba,30082,50
158,Serbia,37i9dQZEVXbNFJfN1Vw8d9,1628375,50
159,South Sudan,37i9dQZF1DWSnPc7hDICBO,5991,49
160,Suriname,37i9dQZF1EIdrY460qeUUA,0,50
161,Slovakia,37i9dQZEVXbKIVTPX9a2Sb,21090,50
162,Slovenia,37i9dQZF1DXckfNdvs23sF,35054,100
163,Sweden,37i9dQZEVXbLoATJ81JYXz,615852,50
164,Eswatini,37i9dQZEVXbLesry2Qw2xS,18213,50
165,Sint Maarten (Dutch part),37i9dQZF1DX4gPeoZtjeC9,25747,162
166,Seychelles,37i9dQZF1E8PN0nOy7Ga5x,4,50
167,Syrian Arab Republic,37i9dQZF1EIWjGzESEnmsl,0,50
